,id,time,fuel
526,AFR234H_LFML_LIPZ_20140912082000.scn,09:13:58,[62130.93017589]
527,GWI2807_BIKF_EDDS_20140912003000.scn,03:46:34,[53632.98850011]
528,KLM1395_EHAM_ULLI_20140912104500.scn,13:11:30,[55159.19610331]
529,AUA522D_LIPZ_LOWW_20140912085500.scn,17:51:52,[16789.85420228]
530,RYR5008_GMMW_EDFH_20140912183500.scn,21:18:43,[59020.66047979]
531,EZY471_EGAA_EGPF_20140912201000.scn,00:02:31,[59804.35166503]
532,PGT424_LIPE_LTFJ_20140912122000.scn,14:27:40,[60416.13190333]
533,WZZ114_EGGW_LKPR_20140912195000.scn,22:38:03,[60565.51829735]
534,AFL2352_UUEE_LOWW_20140912122500.scn,14:44:18,[66326.37261024]
535,BEL724_LSGG_EBBR_20140912190500.scn,20:02:24,[22803.69337361]
536,SWR779_EBBR_LSZH_20140912085400.scn,18:53:51,[62593.83642751]
537,ROT608D_LRTR_LROP_20140912161000.scn,16:52:22,[117607.30214586]
538,TFL219_EHAM_LGSM_20140912033000.scn,06:44:04,[58276.01688045]
539,AUA381_LOWW_UKLL_20140912110000.scn,12:07:01,[16674.95180489]
540,FPO551_LFRN_LFRB_20140912005500.scn,01:12:36,[51999.32724216]
541,DTH3057_LFMH_DAAS_20140912143000.scn,16:30:19,[62187.99131779]
542,BAW66Q_EGKK_GMMX_20140912140500.scn,16:08:18,[50805.37556248]
543,AUA601_LOWW_UUDD_20140912080000.scn,10:14:10,[59089.25720923]
544,BER717E_LOWG_EDDT_20140912125000.scn,13:40:04,[58144.69833425]
545,DLH156_EDDF_EDDP_20140912072500.scn,08:06:45,[59018.74263643]
546,SAS1842_LIRF_ESSA_20140912081000.scn,16:33:49,[59299.60724253]
547,MIBID_LGIR_LGAV_20140912110000.scn,11:20:24,[283381.8780384]
548,DLH1HU_EDDK_EDDM_20140912073000.scn,11:41:45,[62633.90062046]
549,QTR022_EGCC_OTHH_20140912082500.scn,20:21:52,[156896.58461923]
550,SHT2J_EGLL_EGCC_20140912075500.scn,08:32:49,[63206.72824452]
551,CCA931_ZBAA_EDDF_20140912060000.scn,03:46:39,[206783.58234206]
552,BEL7PC_EBBR_LIML_20140912143500.scn,15:27:01,[57878.72143557]
553,NJE2FD_LIRA_LIEO_20140912120000.scn,12:56:15,[15113.83146234]
554,SAS1042_ESSA_ESNQ_20140912095000.scn,11:09:51,[57338.06015246]
555,OHY2160_EDDC_LTAI_20140912184000.scn,12:14:13,[65139.84947526]
556,MON752A_EGKK_LTBS_20140912200000.scn,00:13:58,[172138.27869381]
